title,release_year,language,genre,overview,vote_average,vote_count,popularity,cleaned_overview
Molly's Game,2017,Amerikanisch,Drama,molly bloom young skier former olympic hopeful becomes successful entrepreneur target fbi investigation establishes highstakes international poker game,7.145,3649.0,18.488,molly bloom young skier former olympic hopeful becomes successful entrepreneur target fbi investigation establishes highstakes international poker game
Whitney Houston: I Wanna Dance with Somebody,2022,Amerikanisch,Drama,joyous emotional heartbreaking celebration life music whitney houston greatest female rb pop vocalist time tracking journey obscurity musical superstardom,7.033,410.0,8.372,joyous emotional heartbreaking celebration life music whitney houston greatest female rb pop vocalist time tracking journey obscurity musical superstardom
The Cloverfield Paradox,2018,Amerikanisch,Horror,orbiting planet brink scientist test device solve energy crisis end facetoface dark alternate reality,5.619,3210.0,23.766,orbiting planet brink scientist test device solve energy crisis end facetoface dark alternate reality
Under the Boardwalk,2023,Amerikanisch,Humor,two crab embark epic journey get home storm sweep away courage soon unites family paving way great summer come,7.302,63.0,16.509,two crab embark epic journey get home storm sweep away courage soon unites family paving way great summer come
13 Minutes,2021,Amerikanisch,Drama,new day begin small american town minninnewah resident start day ordinary next mother nature however plan inhabitant 13 minute seek shelter largest tornado record ravage town leaving struggling protect loved one fighting life left deal aftermath four family must overcome difference find strength order survive,5.965,212.0,13.376,new day begin small american town minninnewah resident start day ordinary next mother nature however plan inhabitant minute seek shelter largest tornado record ravage town leaving struggling protect loved one fighting life left deal aftermath four family must overcome difference find strength order survive
From Black,2023,Amerikanisch,Horror,young mother who crushed guilt shame disappearance young son five year previously offered bizarre opportunity learn truth set thing right willing pay terrifying price chance hold boy,5.345,42.0,6.617,young mother crushed guilt shame disappearance young son five year previously offered bizarre opportunity learn truth set thing right willing pay terrifying price chance hold boy
The Cursed,2021,Amerikanisch,Drama,late 19th century brutal land baron slaughter rom clan unleashing curse family village day follow townspeople plagued nightmare baron son go missing boy found murdered local suspect wild animal visiting pathologist warns sinister presence lurking wood,6.609,320.0,17.837,late th century brutal land baron slaughter rom clan unleashing curse family village day follow townspeople plagued nightmare baron son go missing boy found murdered local suspect wild animal visiting pathologist warns sinister presence lurking wood
God's Not Dead 2,2016,Amerikanisch,Drama,high school teacher asked question class jesus reasoned response land deep trouble could expel god public square,6.1,398.0,17.991,high school teacher asked question class jesus reasoned response land deep trouble could expel god public square
The Dead Don't Die,2019,Amerikanisch,Horror,small peaceful town zombie suddenly rise terrorize town three bespectacled police officer strange scottish morgue expert must band together defeat undead,5.433,2474.0,15.209,small peaceful town zombie suddenly rise terrorize town three bespectacled police officer strange scottish morgue expert must band together defeat undead
You Are So Not Invited to My Bat Mitzvah,2023,Amerikanisch,Humor,stacy lydia bffs whove always dreamed epic bat mitzvah thing start go comically awry popular boy middle school drama threatens friendship rite passage,6.42,405.0,21.84,stacy lydia bffs whove always dreamed epic bat mitzvah thing start go comically awry popular boy middle school drama threatens friendship rite passage
Ophelia,2019,Amerikanisch,Romanze,ophelia come age ladyinwaiting queen gertrude singular spirit capture hamlet affection lust betrayal threaten kingdom ophelia find trapped true love controlling destiny,7.12,549.0,11.239,ophelia come age ladyinwaiting queen gertrude singular spirit capture hamlet affection lust betrayal threaten kingdom ophelia find trapped true love controlling destiny
Animal Crackers,2017,Amerikanisch,Humor,family must use magical box animal cracker save rundown circus taken evil uncle horatio p huntington,6.2,189.0,10.04,family must use magical box animal cracker save rundown circus taken evil uncle horatio p huntington
Hush,2016,Amerikanisch,Horror,deaf woman stalked psychotic killer secluded home,6.73,4512.0,18.814,deaf woman stalked psychotic killer secluded home
Demolition,2016,Amerikanisch,Drama,emotionally desperate investment banker find hope woman meet,6.804,2167.0,15.136,emotionally desperate investment banker find hope woman meet
The Last Word,2017,Amerikanisch,Humor,retired businesswoman try control everything around decides write obituary young journalist take task finding truth result lifealtering friendship,6.566,348.0,7.16,retired businesswoman try control everything around decides write obituary young journalist take task finding truth result lifealtering friendship
Mark Felt: The Man Who Brought Down the White House,2017,Amerikanisch,Drama,story mark felt name deep throat helped journalist bob woodward carl bernstein uncover watergate scandal 1974,6.2,494.0,12.398,story mark felt name deep throat helped journalist bob woodward carl bernstein uncover watergate scandal
The Hunger Games: The Ballad of Songbirds & Snakes,2023,Amerikanisch,Action,64 year becomes tyrannical president panem coriolanus snow see chance change fortune mentor lucy gray baird female tribute district 12,7.084,2609.0,78.428,year becomes tyrannical president panem coriolanus snow see chance change fortune mentor lucy gray baird female tribute district
Scooby-Doo! Return to Zombie Island,2019,Amerikanisch,Humor,scoobydoo pal win allexpense paid vacation embark trip lifetime tropical paradise destination however turn zombie island soon arrive realize place look strangely familiar reminiscent trip took year ago became wrapped mystery involving zombie gang soon learns trip paradise come price zombie reemerge attack hotel scoobydoo mystery inc gang finally solve mystery behind zombie island,6.99,919.0,11.463,scoobydoo pal win allexpense paid vacation embark trip lifetime tropical paradise destination however turn zombie island soon arrive realize place look strangely familiar reminiscent trip took year ago became wrapped mystery involving zombie gang soon learns trip paradise come price zombie reemerge attack hotel scoobydoo mystery inc gang finally solve mystery behind zombie island
The Possession of Hannah Grace,2018,Amerikanisch,Horror,cop rehab take graveyard shift city hospital morgue face series bizarre violent event caused evil entity one corps,5.588,1317.0,29.103,cop rehab take graveyard shift city hospital morgue face series bizarre violent event caused evil entity one corp
Words on Bathroom Walls,2020,Amerikanisch,Romanze,diagnosed mental illness halfway senior year high school witty introspective teen struggle keep secret falling love brilliant classmate inspires open heart defined condition,7.814,590.0,11.102,diagnosed mental illness halfway senior year high school witty introspective teen struggle keep secret falling love brilliant classmate inspires open heart defined condition
Norm of the North,2016,Amerikanisch,Humor,polar bear norm three arctic lemming buddy forced world icy home begin melting breaking apart landing new york norm begin life anew performing corporate mascot discover new employer directly responsible destruction polar home,4.635,333.0,8.712,polar bear norm three arctic lemming buddy forced world icy home begin melting breaking apart landing new york norm begin life anew performing corporate mascot discover new employer directly responsible destruction polar home
The Red Sea Diving Resort,2019,Amerikanisch,Drama,sudan east africa 1980 team israeli mossad agent plan rescue transfer thousand ethiopian jew israel avoid raising suspicion inquisitive ruthless authority establish cover fake diving resort red sea,6.854,797.0,13.862,sudan east africa team israeli mossad agent plan rescue transfer thousand ethiopian jew israel avoid raising suspicion inquisitive ruthless authority establish cover fake diving resort red sea
The Witcher: Nightmare of the Wolf,2021,Amerikanisch,Action,escaping poverty become witcher vesemir slays monster coin glory new menace rise must face demon past,7.511,930.0,13.008,escaping poverty become witcher vesemir slays monster coin glory new menace rise must face demon past
Blood Father,2016,Amerikanisch,Action,excon reunites estranged wayward 16year old daughter protect drug dealer trying kill,6.177,1512.0,10.16,excon reunites estranged wayward year old daughter protect drug dealer trying kill
The Price We Pay,2023,Amerikanisch,Action,pawn shop robbery go askew two criminal take refuge remote farmhouse try let heat find something much menacing,5.9,157.0,10.583,pawn shop robbery go askew two criminal take refuge remote farmhouse try let heat find something much menacing
Even Lambs Have Teeth,2015,Amerikanisch,Horror,two young woman terrorized group small town psycho seek revenge tormentor,5.703,123.0,9.595,two young woman terrorized group small town psycho seek revenge tormentor
Saltburn,2023,Amerikanisch,Drama,struggling find place oxford university student oliver quick find drawn world charming aristocratic felix catton invite saltburn eccentric family sprawling estate summer never forgotten,7.017,2212.0,33.95,struggling find place oxford university student oliver quick find drawn world charming aristocratic felix catton invite saltburn eccentric family sprawling estate summer never forgotten
Nightmare Alley,2021,Amerikanisch,Drama,ambitious carnival talent manipulating people wellchosen word hook female psychologist even dangerous,6.993,2863.0,19.044,ambitious carnival talent manipulating people wellchosen word hook female psychologist even dangerous
Time Is Up,2021,Amerikanisch,Romanze,vivien accomplished student passion physic roy troubled young involved accident force reclaim life one minute time,6.462,648.0,19.685,vivien accomplished student passion physic roy troubled young involved accident force reclaim life one minute time
Gods of the Deep,2023,Amerikanisch,Horror,daring mission lead deep sea submarine team mysterious opening ocean floor uncover lost underwater world awaken ancient race otherworldly being,5.063,48.0,12.683,daring mission lead deep sea submarine team mysterious opening ocean floor uncover lost underwater world awaken ancient race otherworldly
Beach Rats,2017,Amerikanisch,Romanze,outskirt brooklyn frankie aimless teenager suffocates oppressive glare cast family toxic group delinquent friend struggling identity frankie begin scour hookup site older men,6.044,518.0,7.325,outskirt brooklyn frankie aimless teenager suffocates oppressive glare cast family toxic group delinquent friend struggling identity frankie begin scour hookup site older men
Allure,2018,Amerikanisch,Romanze,plagued abuse past turmoil failed intimate encounter laura struggle find lover sense normalcy beacon hope come sixteen yearold eva talented pianist disillusioned life mother imposes upon unlikely relationship formed two eva becomes obsession laura light evas unhappiness laura convinces runaway house soon find caught within intense entanglement manipulation denial codependency fuel ultimately becomes fractured dynamic sustain long,5.4,78.0,4.722,plagued abuse past turmoil failed intimate encounter laura struggle find lover sense normalcy beacon hope come sixteen yearold eva talented pianist disillusioned life mother imposes upon unlikely relationship formed two eva becomes obsession laura light evas unhappiness laura convinces runaway house soon find caught within intense entanglement manipulation denial codependency fuel ultimately becomes fractured dynamic sustain long
Circle,2015,Amerikanisch,Drama,massive mysterious chamber fifty stranger awaken find trapped memory got organized inwardfacing circle unable move quickly learn every two minute one must dieexecuted strange device center room,6.021,1936.0,12.543,massive mysterious chamber fifty stranger awaken find trapped memory got organized inwardfacing circle unable move quickly learn every two minute one must dieexecuted strange device center room
Next Gen,2018,Amerikanisch,Action,friendship topsecret robot turn lonely girl life thrilling adventure take bully evil bot scheming madman,6.962,757.0,9.84,friendship topsecret robot turn lonely girl life thrilling adventure take bully evil bot scheming madman
If There Be Thorns,2015,Amerikanisch,Drama,christopher cathy dollanganger live together wife cathys two son unaware incestuous nature parent relationship mysterious woman move next door befriends younger boy bart begin strange transformation display accusatory behavior towards cathy christopher christopher discovers mysterious neighbor fact mother corrine dollanganger family longhidden secret revealed tragic climax,5.927,109.0,11.559,christopher cathy dollanganger live together wife cathys two son unaware incestuous nature parent relationship mysterious woman move next door befriends younger boy bart begin strange transformation display accusatory behavior towards cathy christopher christopher discovers mysterious neighbor fact mother corrine dollanganger family longhidden secret revealed tragic climax
Kings,2017,Amerikanisch,Romanze,foster family south central week city erupts violence following verdict rodney king trial 1992,5.646,151.0,5.908,foster family south central week city erupts violence following verdict rodney king trial
Between Two Ferns: The Movie,2019,Amerikanisch,Humor,galifianakis dreamed becoming star ferrell discovered public access tv show two fern uploaded funny zach became viral laughing stock zach crew taking road trip complete series highprofile celebrity interview restore reputation,5.979,851.0,12.239,galifianakis dreamed becoming star ferrell discovered public access tv show two fern uploaded funny zach became viral laughing stock zach crew taking road trip complete series highprofile celebrity interview restore reputation
The Perfect Find,2023,Amerikanisch,Romanze,highprofile firing everything stake 40yearold jenna career ticking biological clock bank account fashion career comeback hit snag fall charming much younger coworker happens boss son spark fly jenna must decide shell risk secret romance one person could destroy comeback,6.122,111.0,19.045,highprofile firing everything stake yearold jenna career ticking biological clock bank account fashion career comeback hit snag fall charming much younger coworker happens bos son spark fly jenna must decide shell risk secret romance one person could destroy comeback
The Mill,2023,Amerikanisch,Horror,businessman wake beside ancient grist mill situated center openair prison cell idea got forced work beast burden stay alive must find way escape birth child,5.897,68.0,23.131,businessman wake beside ancient grist mill situated center openair prison cell idea got forced work beast burden stay alive must find way escape birth child
Being Charlie,2015,Amerikanisch,Romanze,charlie troublesome 18yearold break youth drug treatment clinic return home los angeles he given intervention parent forced go adult rehab meet beautiful troubled girl eva forced battle drug elusive love divided parent,6.199,158.0,5.637,charlie troublesome yearold break youth drug treatment clinic return home los angeles given intervention parent forced go adult rehab meet beautiful troubled girl eva forced battle drug elusive love divided parent
The Bad Seed,2018,Amerikanisch,Drama,widower suspect seemingly perfect adolescent daughter heartless killer,7.035,286.0,10.676,widower suspect seemingly perfect adolescent daughter heartless killer
Dinner in America,2022,Amerikanisch,Romanze,onthelam punk rocker young woman obsessed band go unexpected epic journey together decaying suburb american midwest,7.55,80.0,25.348,onthelam punk rocker young woman obsessed band go unexpected epic journey together decaying suburb american midwest
The Meg,2018,Amerikanisch,Horror,deep sea submersible pilot revisits past fear mariana trench accidentally unleashes seventy foot ancestor great white shark believed extinct,6.255,7550.0,52.615,deep sea submersible pilot revisits past fear mariana trench accidentally unleashes seventy foot ancestor great white shark believed extinct
Detective Knight: Rogue,2022,Amerikanisch,Action,los angeles prepares halloween maskwearing armed robber critically wound detective james knight partner shootout following heist knight hot pursuit bandit flee la new york detective dark past collides present case threatens tear world apartunless redemption claim knight first,6.207,150.0,23.942,los angeles prepares halloween maskwearing armed robber critically wound detective james knight partner shootout following heist knight hot pursuit bandit flee la new york detective dark past collides present case threatens tear world apartunless redemption claim knight first
Left Behind: Rise of the Antichrist,2023,Amerikanisch,Action,million people vanish world fall chaos charismatic leader rise lead un however intention sinister appear,4.9,19.0,13.331,million people vanish world fall chaos charismatic leader rise lead un however intention sinister appear
Smosh: The Movie,2015,Amerikanisch,Action,embarrassing video anthony surface online right fifth high school reunion smosh dude race pull clip blow anthony chance reconnecting teen crush anna,4.442,199.0,6.578,embarrassing video anthony surface online right fifth high school reunion smosh dude race pull clip blow anthony chance reconnecting teen crush anna
Synchronic,2020,Amerikanisch,Drama,two new orleans paramedic life ripped apart encountering series horrific death linked designer drug bizarre otherworldly effect,6.333,922.0,11.075,two new orleans paramedic life ripped apart encountering series horrific death linked designer drug bizarre otherworldly effect
Social Animals,2018,Amerikanisch,Romanze,determined turn parent drawn relationship longer one night stand zoe constantly struggle failing business love life fall love first time paul there one problem paul married,6.2,75.0,4.773,determined turn parent drawn relationship longer one night stand zoe constantly struggle failing business love life fall love first time paul one problem paul married
Honest Thief,2020,Amerikanisch,Action,bank robber try turn he falling love want live honest lifebut realizes fed corrupt must fight back clear name,6.495,1706.0,17.543,bank robber try turn falling love want live honest lifebut realizes fed corrupt must fight back clear name
American Ultra,2015,Amerikanisch,Humor,mike unmotivated stoner whose smalltown life livein girlfriend phoebe suddenly turned upside unbeknownst mike actually highly trained lethal sleeper agent blink eye secret past come back haunt mike thrust middle deadly government operation forced summon inner actionhero order survive,6.085,2735.0,9.752,mike unmotivated stoner whose smalltown life livein girlfriend phoebe suddenly turned upside unbeknownst mike actually highly trained lethal sleeper agent blink eye secret past come back haunt mike thrust middle deadly government operation forced summon inner actionhero order survive
Priscilla,2023,Amerikanisch,Drama,teenage priscilla beaulieu meet elvis presley party already meteoric rockandroll superstar becomes someone entirely unexpected private moment thrilling crush ally loneliness vulnerable best friend,6.8,720.0,30.149,teenage priscilla beaulieu meet elvis presley party already meteoric rockandroll superstar becomes someone entirely unexpected private moment thrilling crush ally loneliness vulnerable best friend
Ghostbusters: Afterlife,2021,Amerikanisch,Humor,single mom callie two kid trevor phoebe arrive small oklahoma town begin discover connection original ghostbusters secret legacy grandfather left behind,7.386,4537.0,40.861,single mom callie two kid trevor phoebe arrive small oklahoma town begin discover connection original ghostbusters secret legacy grandfather left behind
LEGO Jurassic World: The Indominus Escape,2016,Amerikanisch,Humor,scientist jurassic world create captivating terrifying new creature love hot dog happens hot dog run,5.684,95.0,9.526,scientist jurassic world create captivating terrifying new creature love hot dog happens hot dog run
Swiss Army Man,2016,Amerikanisch,Romanze,alone tiny deserted island hank given hope ever making home one day everything change dead body wash ashore soon realizes may last opportunity escape certain death armed new friend unusual bag trick duo go epic adventure bring hank back woman dream,6.924,3459.0,10.034,alone tiny deserted island hank given hope ever making home one day everything change dead body wash ashore soon realizes may last opportunity escape certain death armed new friend unusual bag trick duo go epic adventure bring hank back woman dream
Dream Scenario,2023,Amerikanisch,Humor,hapless family paul matthew find life turned upside million stranger suddenly start seeing dream nighttime appearance take nightmarish turn paul forced navigate newfound stardom,6.7,812.0,28.715,hapless family paul matthew find life turned upside million stranger suddenly start seeing dream nighttime appearance take nightmarish turn paul forced navigate newfound stardom
Early Man,2018,Amerikanisch,Humor,dug along sidekick hognob unite caveman tribe save hidden valley spoiled together team face menace mysterious mighty enemy turf ancient sacred sport,6.159,784.0,12.67,dug along sidekick hognob unite caveman tribe save hidden valley spoiled together team face menace mysterious mighty enemy turf ancient sacred sport
Gemini Man,2019,Amerikanisch,Action,henry brogan elite 51yearold assassin who ready call quits completing 72nd job plan get turned upside becomes target mysterious operative seemingly predict every move horror brogan soon learns who trying kill younger faster cloned version,6.296,5057.0,25.156,henry brogan elite yearold assassin ready call quits completing nd job plan get turned upside becomes target mysterious operative seemingly predict every move horror brogan soon learns trying kill younger faster cloned version
This Beautiful Fantastic,2016,Amerikanisch,Romanze,set backdrop beautiful garden heart london contemporary fairy tale revolves around unlikely friendship reclusive young woman cantankerous old widower bella brown beautifully quirky young woman dream writing illustrating successful childrens book forced landlord deal neglected garden face eviction meet match nemesis unlikely mentor alfie stephenson grumpy loveless old life next door happens amazing horticulturalist,7.1,319.0,7.762,set backdrop beautiful garden heart london contemporary fairy tale revolves around unlikely friendship reclusive young woman cantankerous old widower bella brown beautifully quirky young woman dream writing illustrating successful childrens book forced landlord deal neglected garden face eviction meet match nemesis unlikely mentor alfie stephenson grumpy loveless old life next door happens amazing horticulturalist
Alive,2018,Amerikanisch,Horror,severely injured woman awake abandoned sanitarium discover sadistic caretaker hold key freedom horrific answer true identity,6.0,94.0,7.753,severely injured woman awake abandoned sanitarium discover sadistic caretaker hold key freedom horrific answer true identity
Fear PHarm 2,2021,Amerikanisch,Horror,fighting life within corn field maze trying outrun number murderous psycho melanie regained consciousness discover held hostage walker family continue harvest skin breakthrough skin care cream business booming walker melanie soon find shes alone dozen others held captive skin family plan grow business internationally one failed escape attempt belt melanie must fight opportunity survive,5.423,13.0,7.04,fighting life within corn field maze trying outrun number murderous psycho melanie regained consciousness discover held hostage walker family continue harvest skin breakthrough skin care cream business booming walker melanie soon find shes alone dozen others held captive skin family plan grow business internationally one failed escape attempt belt melanie must fight opportunity survive
Tom and Jerry: Willy Wonka and the Chocolate Factory,2017,Amerikanisch,Humor,classic roald dahl tale get modern twist tom jerry enter amazing world willy wonkas chocolate factory,6.705,149.0,15.631,classic roald dahl tale get modern twist tom jerry enter amazing world willy wonkas chocolate factory
Grimsby,2016,Amerikanisch,Action,wrongfully accused run top mi6 assassin join force longlost football hooligan brother save world sinister plot,5.9,2256.0,25.668,wrongfully accused run top mi assassin join force longlost football hooligan brother save world sinister plot
Satanic Panic,2019,Amerikanisch,Horror,pizza delivery girl suddenly fight young life encountering group satanist need virgin ritually sacrifice,5.285,121.0,9.871,pizza delivery girl suddenly fight young life encountering group satanist need virgin ritually sacrifice
Groot's Pursuit,2022,Amerikanisch,Humor,groot investigates spooky noise thats haunting quadrant lead intense dance,7.2,256.0,9.167,groot investigates spooky noise thats haunting quadrant lead intense dance
I Am Not a Witch,2017,Amerikanisch,Drama,convicted witchcraft 8yearold shula brought live penal colony witch hard labour service government,6.705,110.0,13.513,convicted witchcraft yearold shula brought live penal colony witch hard labour service government
He's All That,2021,Amerikanisch,Humor,get revenge exboyfriend influencer attempt transform unpopular classmate prom king,6.524,1359.0,30.781,get revenge exboyfriend influencer attempt transform unpopular classmate prom king
The Flood,2023,Amerikanisch,Horror,horde giant hungry alligator unleashed group intransit prisoner guard massive hurricane flood louisiana,6.386,254.0,27.501,horde giant hungry alligator unleashed group intransit prisoner guard massive hurricane flood louisiana
All of My Heart: Inn Love,2017,Amerikanisch,Romanze,brian jenny preparing grand opening bed breakfast emilys country inn big storm hit buck county brian agrees go back wall street boost fund jenny scramble keep opening track,7.14,57.0,8.199,brian jenny preparing grand opening bed breakfast emilys country inn big storm hit buck county brian agrees go back wall street boost fund jenny scramble keep opening track
Tangerine,2015,Amerikanisch,Humor,christmas eve tinseltown sindee back block upon hearing pimp boyfriend hasnt faithful 28 day locked working girl best friend alexandra embark mission get bottom scandalous rumor riproaring odyssey lead various subculture los angeles including armenian family dealing repercussion infidelity,6.927,654.0,7.372,christmas eve tinseltown sindee back block upon hearing pimp boyfriend hasnt faithful day locked working girl best friend alexandra embark mission get bottom scandalous rumor riproaring odyssey lead various subculture los angeles including armenian family dealing repercussion infidelity
Kickboxer: Retaliation,2018,Amerikanisch,Drama,one year event kickboxer vengeance kurt sloan vowed never return thailand however gearing mma title shot find sedated forced back thailand time prison one responsible want face 68 400 lb beast named mongkut return fight kurt get two million dollar freedom back kurt first refuse bounty placed head way force face mongkut kurt soon learns choice undergo rigorous training yet unexpected mentor order face mongkut hope regain freedom,5.4,287.0,13.866,one year event kickboxer vengeance kurt sloan vowed never return thailand however gearing mma title shot find sedated forced back thailand time prison one responsible want face lb beast named mongkut return fight kurt get two million dollar freedom back kurt first refuse bounty placed head way force face mongkut kurt soon learns choice undergo rigorous training yet unexpected mentor order face mongkut hope regain freedom
Come Fly with Me,2023,Amerikanisch,Romanze,captain emma fitzgerald receives two year assignment nellis air force base thunderbird team air force famed demonstration squadron daughter lucy becomes friend alice daughter civilian widower named paul two girl hatch plan bring single parent together lucy hoping keep mother continuing move around,7.7,7.0,3.283,captain emma fitzgerald receives two year assignment nellis air force base thunderbird team air force famed demonstration squadron daughter lucy becomes friend alice daughter civilian widower named paul two girl hatch plan bring single parent together lucy hoping keep mother continuing move around
The Nun II,2023,Amerikanisch,Horror,1956 france priest violently murdered sister irene begin investigate come facetoface powerful evil,6.773,1974.0,80.184,france priest violently murdered sister irene begin investigate come facetoface powerful evil
Then Came You,2018,Amerikanisch,Humor,american hypochondriac working baggage handler forced confront fear british teenager terminal illness enlists help carry eccentric bucket list,7.408,471.0,10.284,american hypochondriac working baggage handler forced confront fear british teenager terminal illness enlists help carry eccentric bucket list
Gabriel's Redemption: Part III,2023,Amerikanisch,Romanze,surprise letter gabriel estranged half sibling lead revelation never believed could true julia discovers life changing event threatens take away everything shes worked towards gabriel support encouragement julia excepts future two open self ultimate chance happiness redemption,7.789,19.0,11.901,surprise letter gabriel estranged half sibling lead revelation never believed could true julia discovers life changing event threatens take away everything shes worked towards gabriel support encouragement julia excepts future two open self ultimate chance happiness redemption
Brain on Fire,2017,Amerikanisch,Drama,susannah cahalan upandcoming journalist new york post becomes plagued voice head seizure causing rapid descent insanity,7.049,1350.0,13.934,susannah cahalan upandcoming journalist new york post becomes plagued voice head seizure causing rapid descent insanity
Wolf Hound,2022,Amerikanisch,Action,inspired reallife german special operation unit kg 200 shot repaired flew allied aircraft trojan horse wolf hound take place 1944 germanoccupied france follows daring exploit jewishamerican fighter pilot captain david holden ambushed behind enemy line holden must rescue captured b17 flying fortress crew evade ruthless enemy stalking every turn foil plot could completely alter outcome world ii,6.5,89.0,14.106,inspired reallife german special operation unit kg shot repaired flew allied aircraft trojan horse wolf hound take place germanoccupied france follows daring exploit jewishamerican fighter pilot captain david holden ambushed behind enemy line holden must rescue captured b flying fortress crew evade ruthless enemy stalking every turn foil plot could completely alter outcome world ii
A Wedding to Remember,2021,Amerikanisch,Romanze,opposite side development project olivia brian surprised find maid honor best wedding put feeling aside save best friend wedding may turn well,6.672,32.0,4.143,opposite side development project olivia brian surprised find maid honor best wedding put feeling aside save best friend wedding may turn well
Most Beautiful Island,2017,Amerikanisch,Horror,chronicling one harrowing day life luciana young woman struggling make end meet striving escape past lucianas day unfolds whisked physically emotionally series troublesome unforeseeable extreme,5.555,110.0,5.429,chronicling one harrowing day life luciana young woman struggling make end meet striving escape past lucianas day unfolds whisked physically emotionally series troublesome unforeseeable extreme
Insurgent,2015,Amerikanisch,Action,beatrice prior must confront inner demon continue fight powerful alliance threatens tear society apart,6.361,9894.0,48.049,beatrice prior must confront inner demon continue fight powerful alliance threatens tear society apart
Cabin Fever,2016,Amerikanisch,Horror,staying remote cabin weeklong vacation group five college friend succumb infectious flesheating disease,4.767,430.0,8.164,staying remote cabin weeklong vacation group five college friend succumb infectious flesheating disease
The Intern,2015,Amerikanisch,Humor,70yearold widower ben whittaker discovered retirement isnt cracked seizing opportunity get back game becomes senior intern online fashion site founded run jules ostin,7.215,6613.0,70.856,yearold widower ben whittaker discovered retirement isnt cracked seizing opportunity get back game becomes senior intern online fashion site founded run jules ostin
Homewrecker,2023,Amerikanisch,Horror,married couple decides rent extra room house attractive young woman move armed set filthy scheme,2.0,3.0,6.218,married couple decides rent extra room house attractive young woman move armed set filthy scheme
My Son,2021,Amerikanisch,Drama,man son go missing travel town exwife life search answer play whose life clouded mystery mcavoy given script dialogue,6.185,455.0,11.713,son go missing travel town exwife life search answer play whose life clouded mystery mcavoy given script dialogue
While We Sleep,2021,Amerikanisch,Horror,observing hauntingly familiar abnormal cat scan 13 year old girl radiologist nina evanko battle find source young girl sleeping disorder discovers darker stranger could imagined,5.147,17.0,12.765,observing hauntingly familiar abnormal cat scan year old girl radiologist nina evanko battle find source young girl sleeping disorder discovers darker stranger could imagined
