title,release_year,language,overview,vote_average,vote_count,popularity
Dunki,2023.0,Indisch,"Four friends from a sleepy little village in Punjab share a common dream: to go to England. Their problem is that they have neither the visa nor the ticket. A soldier alights from a train one day, and their lives change. He gives them a soldier's promise: He will take them to the land of their dreams. What follows is a hilarious and heartwarming tale of a perilous journey through the desert and the sea, but most crucially through the hinterlands of their mind.",6.3,68.0,27.928
Laila Majnu,2018.0,Indisch,"Laila is a free-spirited girl from a conservative family who firmly believes in living for the present. Qais, a spoilt brat, falls head over heels in love with her. Their families, however, are warring over property, which leads to self-destruction, pain and bleeding hearts.",6.8,13.0,30.503
M.S. Dhoni: The Untold Story,2016.0,Indisch,"Based on the life story of Mahendra Singh Dhoni, and his journey to being the world cup winning captain of the Indian cricket team.",7.169,166.0,14.266
Sooryavanshi,2021.0,Indisch,"A fearless, faithful albeit slightly forgetful Mumbai cop, Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India pulls out all the stops and stunts to thwart a major conspiracy to attack his city.",5.8,155.0,20.21
Code Name: Tiranga,2022.0,Indisch,"Tasked with capturing a wanted criminal, a fierce undercover agent wrestles with perilously high stakes when her heart is pulled into the mission.",4.4,7.0,29.046
Pihu,2018.0,Indisch,"The social thriller starring a two year-old baby girl. She is living in a home where the adults are going through a complicated phase. Being a toddler, she is occasionally trapped in the accidental situations.",7.5,82.0,26.813
Bharat,2019.0,Indisch,"At the cusp of India's birth as an Independent nation, a family makes an arduous journey to freedom at a cost. A young boy Bharat, makes a promise to his Father that he will keep his family together no matter what.",6.322,59.0,20.365
Tiger 3,2023.0,Indisch,"Following the events of Tiger Zinda Hai, War, and Pathaan, Avinash Singh Rathore returns as Tiger but this time the battle is within. He has to choose between his country or family as an old enemy is after his life, who claims that his family was killed by Tiger. He holds Tiger captive in Pakistan as the Indian agent's loyalty towards his country faces its biggest test.",5.8,42.0,27.532
Padmaavat,2018.0,Indisch,"Rajputana, India, 13th century. The tyrannical usurper Alauddin Khilji, sultan of Delhi, becomes obsessed with Queen Padmavati, wife of King Ratan Singh of Mewar, and goes to great lengths to satisfy his greed for her.",6.922,263.0,19.951
Agra,2023.0,Indisch,The story of a family and an exploration of space in an increasingly crowded world. It follows the quest for a sexual odyssey of an individual.,5.0,2.0,25.534
Sanam Teri Kasam,2016.0,Indisch,"A musical romantic movie exploring the journey that ensues when the blue blooded boy Inder, ""Who wanted to love no one"" crosses paths with Saru, ""Whom no one wanted to love"". All their lives they were waiting to meet, but they just didn't know it . A musical tale of love , longing and loss. Sanam Teri Kasam - A Love story sealed with a Curse.",7.906,112.0,16.837
Dangal,2016.0,Indisch,"Dangal is an extraordinary true story based on the life of Mahavir Singh and his two daughters, Geeta and Babita Phogat. The film traces the inspirational journey of a father who trains his daughters to become world class wrestlers.",7.906,962.0,23.02
Sultan,2016.0,Indisch,"The ageing wrestler Sultan Ali Khan decides to try his luck on the mat again; to do this, he wants to represent his country at the Olympic Games, but first has to overcome personal issues.",6.911,218.0,15.744
Pathaan,2023.0,Indisch,"A soldier caught by enemies and presumed dead comes back to complete his mission, accompanied by old companions and foes.",6.595,184.0,20.723
Lust Stories,2018.0,Indisch,An anthology of four stories that sheds light on modern relationships from the viewpoint of the Indian woman.,6.2,122.0,11.646
Jaane Jaan,2023.0,Indisch,"When a single mother her teenage daughter becomes ensnared in a deadly crime,  find an unexpected ally in their neighbor, a simple, doting but genius teacher math teacher comes to aid, while a tenacious cop digs into the case.",7.03,82.0,12.034
All Ladies Do It,2020.0,Indisch,A Handsome young man gets erotically involved with a Sultry seductive wife of an impotent man only to find himself tangles in a dangerous web of lies and cheat.,1.0,1.0,9.695
Chor Nikal Ke Bhaga,2023.0,Indisch,A flight attendant and her boyfriend must steal a cache of diamonds to clear an old debt — but the plan spins into a mayhem when the plane gets hijacked.,6.979,121.0,14.914
Raees,2017.0,Indisch,"Set in the early ’80s and ’90s in Gujarat, India, ‘Raees’ is a fictitious story of a crime lord named Raees, who builds an entire empire from scratch, and a police officer who is determined to bring him down.",6.711,220.0,13.861
Student of the Year 2,2019.0,Indisch,"A student must overcome bullies and hardships, both academic and romantic, in order to win his college's coveted Student of the Year trophy.",4.657,67.0,11.108
Did It Happen?,2020.0,Indisch,"In A not-so- typical scenario, Ishan a young, charismatic boy is staying with his mom's friend, someone he's attracted to. While his imagination often does run wild, Ishan is stuck in a conundrum - did it really happen?",6.5,6.0,10.224
Looop Lapeta,2022.0,Indisch,"When her boyfriend loses a mobster's cash, Savi races against the clock to save the day — if only she can break out of a curious cycle of dead ends.",6.1,61.0,10.577
Fan,2016.0,Indisch,"A man who bears a striking resemblance to a renowned movie star becomes an obsessive fan, but when his fierce love is spurned by the star, he decides to destroy the star's life and reputation.",6.296,247.0,8.767
Dil Dhadakne Do,2015.0,Indisch,"On a cruise to celebrate their parents' 30th wedding anniversary, a brother and sister deal with the impact of family considerations on their romantic lives.",6.8,136.0,8.696
Neerja,2016.0,Indisch,"Neerja is a portrayal on the life of the courageous Neerja Bhanot, who sacrificed her life while protecting the lives of 359 passengers on the Pan Am flight 73 in 1986. The flight was hijacked by a terrorist organization.",7.3,216.0,9.135
Lust Stories 2,2023.0,Indisch,"Four eminent Indian directors explore sex, desire and love through short films in this sequel to 2018's Emmy-nominated 'Lust Stories'.",5.5,36.0,11.998
Kisi Ka Bhai... Kisi Ki Jaan,2023.0,Indisch,"Bhaijaan, a self-defense trainer lives happily as a bachelor with his three brothers Moh, Ishq and Luv and uses violence to settle disputes. When his brothers, who’ve already found partners, come together to fix a match for him, Bhagya Lakshmi, Bhaijaan decides to mend his ways for his lover's sake. All hell breaks loose when he learns about Bhagya's family facing threats from their haunting past.",5.365,26.0,9.439
Dear Zindagi,2016.0,Indisch,An unconventional thinker helps a budding cinematographer gain a new perspective on life.,7.033,225.0,12.096
Bawaal,2023.0,Indisch,"Ajay Dixit, an ordinary history teacher in a high school, enjoys mini celebrityhood in his town courtesy of the fake image he has built. He shares a strained relationship with his newly-wed wife. Circumstances force him to take a trip to Europe for the World War II trail accompanied by his wife. Will his relationship with his wife survive this trip? Will he manage to win the war within?",6.3,21.0,11.748
Bajrangi Bhaijaan,2015.0,Indisch,A young mute girl from Pakistan loses herself in India with no way to head back. A devoted man with a magnanimous spirit undertakes the task to get her back to her motherland and unite her with her family.,7.812,469.0,12.043
Hichki,2018.0,Indisch,Hichki presents a positive and inspiring story about a woman who turns her biggest weakness into her biggest strength.,7.578,128.0,15.024
Pad Man,2018.0,Indisch,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India.",7.42,200.0,8.267
Kesari,2019.0,Indisch,"In 1897, an army of 21 Sikhs battles 10,000 Afghans to prevent the Saragarhi Fort from being taken down.",7.0,98.0,18.456
Tu Jhoothi Main Makkaar,2023.0,Indisch,"To earn extra cash, Mickey helps couples break up — but life gets complicated when he falls for Tinni, a career woman with an independent streak.",6.253,144.0,13.26
Kalank,2019.0,Indisch,"Set in 1945, in Pre-Independent India, the elite, opulent and solemn world of the Chaudhry family, and the wild, mysterious and musical underbelly of the town, Hira Mandi, clash when Roop Chaudhry encounters Zafar, a daredevil from Hira Mandi, unleashing deep-buried truths, secrets of betrayal and affairs that threaten to bring both worlds crashing down.",5.6,50.0,10.48
Baaghi,2016.0,Indisch,"Ronny is a rebellious man, who falls in love with Sia but circumstances separate them. Years later, Ronny learns that Sia is abducted by a martial arts champion, Raghav.",6.37,127.0,13.447
Haseen Dillruba,2021.0,Indisch,"Under investigation as a suspect in her husband's murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.",6.597,77.0,14.515
Brahmāstra Part One: Shiva,2022.0,Indisch,"The story of Shiva – a young man on the brink of an epic love, with a girl named Isha. But their world is turned upside down when Shiva learns that he has a mysterious connection to the Brahmāstra... and a great power within him that he doesn’t understand just yet - the power of Fire.",6.469,163.0,15.965
Hindi Medium,2017.0,Indisch,"Mita and Raj Batra, an affluent couple from Delhi’s Chandni Chowk, are grappling with getting their daughter admission into an English medium school. But there is one big problem. Their zubaan is Hindi, and the elitist snobs won’t let the Hindi speaking hoi-polloi fit in.",7.3,166.0,7.686
Sanju,2018.0,Indisch,Sanju explores some of the most crucial chapters from movie star Sanjay Dutt’s dramatic and controversial real life. It gives a lowdown on his tryst with drugs and his trials and tribulations in the Arms Acts case and the 1993 Mumbai blasts.,7.242,186.0,16.905
Rocky Aur Rani Kii Prem Kahaani,2023.0,Indisch,"Gym-freak brat Rocky falls in love with Rani, who comes from a well-educated Bengali family. Being from polar opposite worlds, the two decide to switch their families to adjust to each other's cultures and backgrounds and to know if their marriage will survive. Rocky and Rani are trapped in a world where they are united by love but divided by families and the ultimate question is will they fit in?",6.143,49.0,10.652
Shershaah,2021.0,Indisch,"Inspired by the life of Captain Vikram Batra (PVC), the film celebrates his bravery, valiant spirit and honors his invaluable sacrifice during the Kargil War of 1999, at the age of 24.",7.369,88.0,9.785
War,2019.0,Indisch,"Khalid, entrusted with the task of eliminating former soldier turned rogue Kabir, engages in an epic battle with his mentor who taught him everything.",6.491,277.0,13.133
Bhediya,2022.0,Indisch,"Inspired by legendary folklore rooted in Arunachal Pradesh, Bhediya tells the story of Bhaskar, a man who gets bitten by a mythical wolf and begins to transform into the creature himself. As Bhaskar and his ragtag buddies try to find answers, he is worried that the monster in him will wipe out human existence in the local town.",6.8,43.0,12.692
Kapoor & Sons,2016.0,Indisch,"Returning home to visit their ill grandfather, two estranged brothers must confront their unresolved rivalry while their parents’ marriage frays.",7.0,170.0,8.35
Tamasha,2015.0,Indisch,"Meeting while on vacation, Ved and Tara sense a connection but vow to keep their real identities a secret. Years later, their paths cross again.",6.72,141.0,9.583
Housefull 4,2019.0,Indisch,"Three couples who get separated from each other due to an evil ploy, reincarnate after 600 years and meet each other as history repeats itself again and their respective partners get mixed up this time.",5.7,81.0,12.437
Dabangg 3,2019.0,Indisch,"Chulbul this time has to take on a criminal named Balli Singh, who has disrupted other people's lives with his annoying antics.",5.235,51.0,9.285
Baaghi 3,2020.0,Indisch,A man embarks on a bloody rampage to save his kidnapped brother.,6.6,111.0,9.235
Period. End of Sentence.,2018.0,Indisch,"In an effort to improve feminine hygiene, a machine that creates low-cost biodegradable sanitary pads is installed in a rural village in Northern India. Using the machine, a group of local women is employed to produce and sell pads, offering them newfound independence and helping to destigmatize menstruation for all.",7.9,233.0,11.213
Welcome Home,2020.0,Indisch,Welcome Home is being touted as a psychological drama with lots of thrills. The movie follows a pregnant woman living in a house. She is visited by a few other ladies presumably some officials and ask her about her lifestyle.,5.821,14.0,10.134
Bhool Bhulaiyaa 2,2022.0,Indisch,"When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit who has been trapped for 18 years.",6.313,67.0,9.227
Badlapur,2015.0,Indisch,"After his wife and son are killed, a young man finds out the man behind the murder and fights against him, along committing some big mistakes.",6.954,130.0,15.714
Gabbar Is Back,2015.0,Indisch,A vigilante network taking out corrupt officials draws the notice of the authorities.,6.982,112.0,13.187
Nanu Ki Jaanu,2018.0,Indisch,Nanu is a land mafia who illegally grabs people's property with the help of his friends. But his life witnesses a 360-degree change after he takes an injured girl to hospital. Some unusually inexplicable things start happening with him and soon he realizes that he is not the only one living in his flat. There is an uninvited guest also.,5.6,8.0,6.68
Baby,2015.0,Indisch,A small nascent elite team of the Indian intelligence system perpetually strives to detect and eliminate terrorists and their plots. Officer Ajay leads his team to destroy one such potentially lethal ploy in their biggest operation yet.,6.7,164.0,6.913
Junglee,2019.0,Indisch,A vet returns home to his father's elephant reserve where he encounters and fights an international poacher's racket.,6.757,103.0,12.372
Badla,2019.0,Indisch,A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,7.324,136.0,8.849
Shehzada,2023.0,Indisch,"Bantu has grown up suffering his father Valmiki’s vitriolic tongue until he discovers that he’s actually an heir to an influential family, who was exchanged at birth. He moves into their mansion to protect them from a criminal drug lord’s attack and helps the family sort their issues.",5.534,29.0,10.742
Judwaa 2,2017.0,Indisch,"Separated at birth and peculiarly connected via their reflexes, twins Prem and Raja are reunited with each other as they set out to take down the underground smuggling world.",5.398,103.0,8.087
Shaadi Mein Zaroor Aana,2017.0,Indisch,"Satyendra aka Sattu and Aarti meet for a proposed arranged marriage and fall in love in the process. On the night of their marriage, an unexpected turn of events turns their world upside down. Set in the backdrop of India's civil services, Shaadi Mein Zaroor Aana explores the challenges that Satyendra and Aarti face as a middle-class couple in India.",6.9,71.0,10.217
Tubelight,2017.0,Indisch,"Laxman Singh Bisht is nicknamed tube light by his neighbours because he is feeble-minded. Despite being special, Laxman lives by one life-lesson; keep your faith alive and you can do almost anything, even stop a war.",5.361,83.0,8.063
Rocky Handsome,2016.0,Indisch,A vengeful man embarks on a murderous rampage after the kidnapping of a 7-year-old girl.,6.4,65.0,6.265
Bholaa,2023.0,Indisch,"An ex-convict must undertake a perilous, violent journey in order to meet his daughter after ten years of imprisonment.",6.019,26.0,10.616
Andhadhun,2018.0,Indisch,A series of mysterious events changes the life of a blind pianist who now must report a crime that was actually never witnessed by him.,7.677,496.0,14.304
The Archies,2023.0,Indisch,"Set in 1960s India, Archie and the gang navigate romance, friendship and the future of Riverdale as developers threaten to destroy a beloved park.",6.3,49.0,10.523
Sir,2018.0,Indisch,"A prosperous young Indian man falls in love with his servant, a widow with the dream of becoming a fashion designer.",7.124,101.0,6.99
Tiger Zinda Hai,2017.0,Indisch,"When a group of Indian and Pakistani nurses are held hostage in Iraq by a terrorist organization, a secret agent is drawn out of hiding to rescue them.",6.112,143.0,11.215
Gangubai Kathiawadi,2022.0,Indisch,"Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in.",7.434,143.0,7.712
Roohi,2021.0,Indisch,Roohi is set in a fictional town of North India. The film revolves around two small-town boys Bhaura and Kattanni who are stuck in a forest with Roohi. But there’s an insidious spirit following them with feet turned backwards.,4.4,27.0,10.514
Super 30,2019.0,Indisch,Based on life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for financially weak IIT aspirants in Patna.,7.26,98.0,13.443
Bajirao Mastani,2015.0,Indisch,"Peshwa Bajirao married to Kashibai, falls in love with Mastani, a warrior princess in distress. They struggle to make their love triumph amid opposition from his conservative family.",7.271,275.0,9.684
Gehraiyaan,2022.0,Indisch,"Alisha Khanna, 30, ambitious, now finds herself at crossroads in life. Her six year long relationship has grown monotonous, her career seems to be going nowhere. But just when she had begun to accept this reality as unchangeable, her life is usurped by the arrival of her cousin, Tia and her fiancé, Zain, with whom she bonds over a troubled past and a common wish to break from its confines.",5.464,28.0,5.704
Bhouri,2016.0,Indisch,"A tragic love story of Bhouri, a 23-year old who is married to a 55-year old, the film highlights the exploitation of women in male dominated society.",7.4,5.0,7.578
Mrs. Chatterjee Vs Norway,2023.0,Indisch,An immigrant Indian mother fights the Norwegian foster care system and legal machinery to win back custody of her children.,5.3,54.0,9.57
Te3n,2016.0,Indisch,"A grandfather, police officer and a priest join hands to investigate and find a missing child.",6.943,95.0,5.648
ABCD 2,2015.0,Indisch,"Childhood friends Suresh and Vinnie want to become successful dancers. To fulfill their dreams, they form a dance group with their friends and compete in a hip-hop contest in Las Vegas.",5.549,81.0,6.839
Samrat Prithviraj,2022.0,Indisch,"The true story of legendary Hindu warrior king ""Prithviraj Chauhan"" including his early military successes, love story with Sanyogita & clashes with Muhammad of Ghor, a ruler of the Ghurid dynasty who led the foundation of Muslim rule in the Indian subcontinent.",7.026,19.0,11.242
Airlift,2016.0,Indisch,"When Iraq invades Kuwait in August, 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",7.108,189.0,7.404
Baaghi 2,2018.0,Indisch,"A battle-hardened army officer goes in search of his ex-lover's child who is mysteriously kidnapped. Neha reaches out to the only person who can help her with her plight, Ronnie. He goes deep into the underbelly of Goa, facing off against drug lords, menacing Russian henchmen, and blood thirsty animals. Daring stunts, chase sequences, air strikes, bomb blasts and other large-scale action sequences will be done with a bona-fide, larger than life approach, truly making it a spectacle.",6.1,70.0,6.753
Dum Laga Ke Haisha,2015.0,Indisch,A slim uneducated guy is pressured into an arranged marriage with an overweight college girl. The mismatched couple is challenged to compete in the annual wife-carrying race.,7.168,122.0,8.394
Jolly LLB 2,2017.0,Indisch,"A blunt, abrasive and yet oddly compassionate Jagdishwar Mishra aka Jolly, a small-time struggling lawyer who moves from Kanpur to the city of Nawabs to pursue his dream of becoming a big-time lawyer.",6.871,128.0,10.394
Dilwale,2015.0,Indisch,Raj is a Mafia member. One day he meet a girl (Meera) while chasing by his rival gang and falls in love with her. Later he finds out that this girl is the daughter of the leader of his rival gang. Yet their love story continues until he was shot by his girlfriend upon a deep misunderstanding. After that incident these two lovers lives separate until their siblings fallen in love. With this new love story their paths intertwines again.,6.648,301.0,9.622
Drishyam 2,2022.0,Indisch,"7 years after the case related to Vijay Salgaonkar and his family was closed, a series of unexpected events bring truth to light that threatens to change everything for the Salgaonkars. Can Vijay save his family this time?",7.972,71.0,9.021
Ek Villain Returns,2022.0,Indisch,"When a singer goes missing amid a serial killing spree, a cabbie and a businessman's son cross paths in a twisted tale where good and evil is blurred.",5.984,93.0,12.587
Shameless,2019.0,Indisch,"A work from home guy, who constantly orders online, wakes up to find himself tied up by an exasperated and apologetic delivery girl.",10.0,1.0,7.633
The Kashmir Files,2022.0,Indisch,"Based on a true tragedy, the emotionally triggering film sheds light on the plight of Kashmiri Pandits (Hindus), a religious minority in the 1990s Kashmir valley, who were compelled to flee their homes by the Islamic militants.",7.183,60.0,7.65
Bulbbul,2020.0,Indisch,"A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village.",6.54,125.0,9.33
Drishyam,2015.0,Indisch,"A simple, street-smart man tries to protect his family from a cop looking for her missing son.",7.693,398.0,8.316
Sardar Udham,2021.0,Indisch,"A young Sardar Udham Singh left deeply scarred by the Jallianwala Bagh massacre, escaped into the mountains of Afghanistan, reaching London in 1933-34. Carrying an unhealed wound for 21 years, the revolutionary assassinated Michael O’Dwyer on 13th March, 1940, the man at the helm of affairs in Punjab, April 1919 to avenge the lost lives of his beloved brethren.",7.285,93.0,8.365
Amar Prem,2020.0,Indisch,Widow re-marriage is still considered a sin in progressive society of India even today. Film Amar Prem raise questions on mentality of Indian society and cover issues like widow marriage and honor killings.,0.0,0.0,8.313
Phantom,2015.0,Indisch,"Phantom is an action thriller that unfolds across various countries around the world. The plot revolves around protagonist Daniyal, whose journey to seek justice takes him from India to Europe, America and the volatile Middle East. However, he finds out that in a mission like this, there is always a price to pay, in this case, a very personal price.",5.7,49.0,6.005
Coolie No. 1,2020.0,Indisch,"Insulted by Rosario, a rich businessman, Jai Kishen a Matchmaker teaches him a lesson by getting his daughter married to Raju, a Coolie, who poses to be a millionaire. They sense something fishy and Raju's deceptions are discovered. In an attempt to cover it up, he cooks up a story of having a filthy rich twin. One lie leads to another and things start to go awry culminating in a comedy of errors.",5.362,58.0,6.525
Serious Men,2020.0,Indisch,"Tormented with his 'under-privileged' societal status, a father capitalizes on his son's newfound fame as a boy-genius. Little does he realize that the secret he harbors will destroy the very thing he loves the most.",6.667,33.0,5.024
Marjaavaan,2019.0,Indisch,Raghu and Zoya are enjoying their lives together until a gang leader with harmful intentions turns their world upside down.,7.4,30.0,5.014
Raman Raghav 2.0,2016.0,Indisch,A corrupt cop and a serial killer obsessed with a psychopath from the '60s get caught up in a ruthless cat-and-mouse game.,7.065,116.0,8.505
Mission Mangal,2019.0,Indisch,A team of Indian scientists at ISRO (Indian Space Research Organisation) take on the extraordinary task of successfully sending a satellite into the orbit of planet Mars in a country's maiden attempt.,6.698,63.0,6.896
Commando 2 - The Black Money Trail,2017.0,Indisch,"India's most wanted Black Money agent, Vicky Chaddha, gets arrested in Malaysia and is kept in a safe house by the Malaysian authorities, along with his wife. A team of four is being sent to Malaysia to bring them to India. Apart from the growth of inter-personal relationships, the mission has quite a few twists and turns on its way. The story follows Karan as he uses his brain and brawn to recover all of the laundered black money.",6.068,44.0,6.072
Farishta,2023.0,Indisch,"Farishta is a Bhojpuri-language Indian drama film produced by S. S. Reddy, directed by Lal Babu Pandit and written by Arvind Tiwari. It stars Khesari Lal Yadav, Meghasri, Pooja Gaguly, Amit Shukla in the main roles.The story revolves around Murari (Khesari Lal Yadav), a mentally challenged person, who is not accepted by his family.",10.0,1.0,7.054
Phone Bhoot,2022.0,Indisch,"Two crazy, jobless, horror-film addicts Major and Gullu, under immense family pressure to find work, hit upon the idea to float a unique ghost-capturing service when they meet a spirit, Ragini, who makes their business a success but in return asks them for a favour which they are compelled to honour.",5.043,23.0,8.203
Dhamaka,2021.0,Indisch,"When a cynical ex-TV news anchor gets an alarming call on his radio show, he sees a chance for a career comeback — but it may cost his conscience.",6.9,90.0,9.699
Gunjan Saxena: The Kargil Girl,2020.0,Indisch,Inspired by the life of a fearless young officer who made history by becoming the first Indian female Air Force officer to fly in a combat zone during the 1999 Kargil War,7.4,75.0,7.991
Manjhi: The Mountain Man,2015.0,Indisch,"After his wife passes away trying to cross a mountain, Manjhi, out of sheer rage, sets on a quest to carve a road through the treacherous mountain.",7.368,68.0,5.269
Darlings,2022.0,Indisch,"Badru hopes her volatile husband will reform if he stops drinking. But when his rage goes too far, she and her mom boldly, albeit clumsily, seek revenge.",7.0,54.0,8.117
Raazi,2018.0,Indisch,An Indian spy is married to a Pakistani military officer during the Indo-Pakistani War of 1971.,7.148,159.0,8.727
Sam Bahadur,2023.0,Indisch,"Based on the life of Sam Manekshaw, who was the Chief of the Army Staff of the Indian Army during the Indo-Pakistani War of 1971, and the first Indian Army officer to be promoted to the rank of Field Marshal.",6.932,22.0,11.36
Dil Bechara,2020.0,Indisch,"Kizie and Manny, two ordinary people brought together by a tragic twist, embark on a bittersweet and extraordinary journey into the heart of that crazy little thing called 'life'.",6.667,96.0,9.359
Secret Superstar,2017.0,Indisch,A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.,7.311,164.0,7.213
Loveyatri,2018.0,Indisch,"Romance blossoms between young Sushrut and Michelle when they meet during the festival of Navratri. When Michelle returns home to the United Kingdom, Sushrut embarks on an adventurous journey through a strange land to win back the woman he loves.",5.231,13.0,5.346
Bareilly Ki Barfi,2017.0,Indisch,"Bitti Mishra is a bohemian Bareilly girl who falls deeply in love with Pritam Vidrohi, an author because she admires his progressive way of thinking. Finding him though proves to be as hard as looking for a needle in the haystack. So Bitti seeks the help of the local printing press-owner, Chirag Dubey on her journey of love.",6.758,163.0,6.952
"Monica, O My Darling",2022.0,Indisch,"A slick robotics expert joins a murderous plot after a passionate affair takes a sudden turn, but nothing — not even death — is what it seems to be.",7.028,72.0,6.88
Fitoor,2016.0,Indisch,"A young artist tries to win the heart of his muse, while her mother hatches a scheme to end his quest for true love.",5.694,49.0,6.409
Chhichhore,2019.0,Indisch,Following a group of friends from university as they progress into middle-age life and go their own separate ways.,7.7,129.0,6.693
Khufiya,2023.0,Indisch,"When a mole in an intelligence unit leads to the murder of an undercover spy, a hardened agent relentlessly pursues him to avenge the death.",6.5,31.0,5.41
Bloody Daddy,2023.0,Indisch,"Sumair Azad, a dirty cop and his friend, Jaggi, steal Sikandar Chowdhary's cocaine bag. As a result, Sikandar kidnaps Sumair's son, but things take a turn when he loses the cocaine bag as he faces off Gurugram’s drug lords, a crime boss, murderous narcs and straight cops on one fateful night.",5.852,27.0,5.023
Gaslight,2023.0,Indisch,"Meesha, a young paraplegic woman confined to a wheelchair, returns to her family’s royal estate after 15 years at the behest of her estranged father, only to learn that he’s mysteriously missing and probably dead.",5.467,15.0,4.652
Batla House,2019.0,Indisch,"Following a gunfight with suspects believed to be innocent by the media and public, an honest cop struggles to justify police actions before beginning the hunt for fugitives.",6.8,51.0,5.698
Karwaan,2018.0,Indisch,"Avinash, a dejected soul stuck in a dead-end job shares a strange relationship with his father. He holds him responsible for crushing his dreams. However, he is left pondering upon this longstanding hatred when he hears of his father’s untimely demise.",7.229,83.0,10.814
October,2018.0,Indisch,"Dan, a 21-year-old carefree boy is always surrounded by a bunch of friends and fellow hotel interns who feed off each other's everyday moments, their ups and downs. Shiuli is also an intern working in the same hotel, who at times is at a receiving end of Dan's audaciousness. Everything was normal in their life until a sudden turn of events smashes Dan and Shiuli's lives together, into a bond.",6.8,92.0,6.667
Badrinath Ki Dulhania,2017.0,Indisch,Badrinath is looking for a typical bride; Vaidehi is looking for an independent life. Together they must break with tradition and redefine their role,6.386,127.0,5.905
Rustom,2016.0,Indisch,"A naval officer is devastated to learn about his wife's extramarital affair with a rich businessman while he was away. He pays him a visit and shoots him to death, following which he surrenders himself but claims to be ""not guilty"" in the court, much to the surprise of the businessman's sister and the officers dealing with his case.",6.711,116.0,8.652
Article 15,2019.0,Indisch,"A young IPS officer’s new posting in rural India has him confronting caste disparities and uncomfortable truths in the face of a gruesome crime. When three girls go missing in the fictional village of Lalgaon, two of them are found dead and there is no trace of the third one. Where is she and who is responsible for this heinous act?",7.507,145.0,7.406
Parmanu: The Story of Pokhran,2018.0,Indisch,"A look at India's second confidential nuclear test series at Pokhran lead by Dr. APJ Abdul Kalam, during the time of PM Atal Bihari Vajpayee's tenure.",6.995,99.0,9.123
Mimi,2021.0,Indisch,"An aspiring actress in a small town in Rajasthan agrees to bear a child for a visiting couple seeking a surrogate mother, but her experience takes an unexpected turn when they refuse to have the child anymore.",6.8,69.0,8.978
