title,release_year,language,overview,vote_average,vote_count,popularity
Kalank,2019,Indisch,"Set in 1945, in Pre-Independent India, the elite, opulent and solemn world of the Chaudhry family, and the wild, mysterious and musical underbelly of the town, Hira Mandi, clash when Roop Chaudhry encounters Zafar, a daredevil from Hira Mandi, unleashing deep-buried truths, secrets of betrayal and affairs that threaten to bring both worlds crashing down.",5.6,50,13.826
Bye 2,2020,Indisch,,1.0,1,7.853
Shiddat,2021,Indisch,"Love-struck Jaggi can cross the seven seas for his dream girl, Kartika. Even if it means stopping her wedding as he doesn't want to be friend-zoned.",7.55,20,12.414
Neerja,2016,Indisch,"Neerja is a portrayal on the life of the courageous Neerja Bhanot, who sacrificed her life while protecting the lives of 359 passengers on the Pan Am flight 73 in 1986. The flight was hijacked by a terrorist organization.",7.3,216,8.797
Bhediya,2022,Indisch,"Inspired by legendary folklore rooted in Arunachal Pradesh, Bhediya tells the story of Bhaskar, a man who gets bitten by a mythical wolf and begins to transform into the creature himself. As Bhaskar and his ragtag buddies try to find answers, he is worried that the monster in him will wipe out human existence in the local town.",6.791,43,13.59
Looop Lapeta,2022,Indisch,"When her boyfriend loses a mobster's cash, Savi races against the clock to save the day — if only she can break out of a curious cycle of dead ends.",6.1,61,12.112
Intercourse,2019,Indisch,A story of a Horny couple that always wants to have sex..this leads to Hilarious situations! Enjoy the story and life of Married Bachelors.,6.0,1,9.3
Bawaal,2023,Indisch,"Ajay Dixit, an ordinary history teacher in a high school, enjoys mini celebrityhood in his town courtesy of the fake image he has built. He shares a strained relationship with his newly-wed wife. Circumstances force him to take a trip to Europe for the World War II trail accompanied by his wife. Will his relationship with his wife survive this trip? Will he manage to win the war within?",6.3,21,12.403
Shaadi Mein Zaroor Aana,2017,Indisch,"Satyendra aka Sattu and Aarti meet for a proposed arranged marriage and fall in love in the process. On the night of their marriage, an unexpected turn of events turns their world upside down. Set in the backdrop of India's civil services, Shaadi Mein Zaroor Aana explores the challenges that Satyendra and Aarti face as a middle-class couple in India.",6.93,71,9.358
Sam Bahadur,2023,Indisch,"Based on the life of Sam Manekshaw, who was the Chief of the Army Staff of the Indian Army during the Indo-Pakistani War of 1971, and the first Indian Army officer to be promoted to the rank of Field Marshal.",6.932,22,9.932
Manjhi: The Mountain Man,2015,Indisch,"After his wife passes away trying to cross a mountain, Manjhi, out of sheer rage, sets on a quest to carve a road through the treacherous mountain.",7.368,68,12.248
Writing with Fire,2021,Indisch,"In a cluttered news landscape dominated by men, emerges India’s only newspaper run by Dalit women. Armed with smartphones, Chief Reporter Meera and her journalists break traditions on the frontlines of India’s biggest issues and within the confines of their own homes, redefining what it means to be powerful.",7.328,29,6.758
Kabir Singh,2019,Indisch,"Kabir, a genius yet hostile medical student, falls in love with Preeti from his college. When Preeti's father spots the couple kissing, he opposes their relationship and decides to marry her off.",6.5,132,11.189
Haseen Dillruba,2021,Indisch,"Under investigation as a suspect in her husband's murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.",6.597,77,11.501
Jaane Jaan,2023,Indisch,"When a single mother her teenage daughter becomes ensnared in a deadly crime,  find an unexpected ally in their neighbor, a simple, doting but genius teacher math teacher comes to aid, while a tenacious cop digs into the case.",7.03,82,11.186
Tiger Zinda Hai,2017,Indisch,"When a group of Indian and Pakistani nurses are held hostage in Iraq by a terrorist organization, a secret agent is drawn out of hiding to rescue them.",6.112,143,12.427
Shershaah,2021,Indisch,"Inspired by the life of Captain Vikram Batra (PVC), the film celebrates his bravery, valiant spirit and honors his invaluable sacrifice during the Kargil War of 1999, at the age of 24.",7.369,88,12.074
M.S. Dhoni: The Untold Story,2016,Indisch,"Based on the life story of Mahendra Singh Dhoni, and his journey to being the world cup winning captain of the Indian cricket team.",7.169,166,12.907
Ittefaq,2017,Indisch,"Police officer Dev investigates a double murder case that has only two witnesses - an acclaimed writer Vikram and a young homemaker Maya, who also happen to be the prime suspects in the case. He finds himself being torn between their own version's of what happened on the fateful night, and takes it upon himself to figure out the real story and capture the real murderer.",6.88,100,11.125
Raazi,2018,Indisch,An Indian spy is married to a Pakistani military officer during the Indo-Pakistani War of 1971.,7.148,159,10.114
Bulbbul,2020,Indisch,"A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village.",6.54,125,8.109
Samrat Prithviraj,2022,Indisch,"The true story of legendary Hindu warrior king ""Prithviraj Chauhan"" including his early military successes, love story with Sanyogita & clashes with Muhammad of Ghor, a ruler of the Ghurid dynasty who led the foundation of Muslim rule in the Indian subcontinent.",7.026,19,12.437
Bheed,2023,Indisch,"8 hours, complete lockdown in the whole of India, movement shut and state borders sealed. Thousands of migrants without food, water and mode of transport were forced to return to their homes. A crisis that shook the whole nation, a time when borders of disparity divided the people and one man stood for humanity.",6.0,13,8.267
Ganapath,2023,Indisch,"In a dystopian future, Ganapath, a relentless and skilled vigilante, embarks on a mission to dismantle a powerful criminal empire that has gripped the city in fear. Ganapath becomes a symbol of hope for the oppressed in which leads dark.",3.0,5,11.796
Mission Majnu,2023,Indisch,"Set in the 1970s, an undercover Indian spy takes on a deadly mission to expose a covert nuclear weapons program in the heart of Pakistan.",6.691,34,10.135
Baaghi,2016,Indisch,"Ronny is a rebellious man, who falls in love with Sia but circumstances separate them. Years later, Ronny learns that Sia is abducted by a martial arts champion, Raghav.",6.37,127,10.836
Zara Hatke Zara Bachke,2023,Indisch,"Kapil and Somya fall in love, get married and are happily living in a joint family. However, soon the love fades away and the couple is on the verge of a divorce, but not a real one as a twist awaits the two families.",6.182,11,12.199
Housefull 4,2019,Indisch,"Three couples who get separated from each other due to an evil ploy, reincarnate after 600 years and meet each other as history repeats itself again and their respective partners get mixed up this time.",5.7,81,10.231
Zero,2018,Indisch,"Short in stature but big on love, a bachelor meets two very different women who broaden his horizons and help him find purpose in life.",5.229,96,8.923
Ek Anjaan Rishtey Ka Guilt 2,2022,Indisch,"A woman lives a dissatisfied life with her husband and daughter in Patnitop, a hill station. However, her life takes a turn when she begins an affair with her employer.",0.0,0,9.307
Rocky Aur Rani Kii Prem Kahaani,2023,Indisch,"Gym-freak brat Rocky falls in love with Rani, who comes from a well-educated Bengali family. Being from polar opposite worlds, the two decide to switch their families to adjust to each other's cultures and backgrounds and to know if their marriage will survive. Rocky and Rani are trapped in a world where they are united by love but divided by families and the ultimate question is will they fit in?",6.1,48,11.513
Andhadhun,2018,Indisch,A series of mysterious events changes the life of a blind pianist who now must report a crime that was actually never witnessed by him.,7.677,496,11.01
Meenakshi Sundareshwar,2021,Indisch,"Forced to live apart due to a unique job prospect, two newlyweds face the hassles, hiccups — and hilarity — that arise from their long-distance marriage.",5.5,25,9.013
Simmba,2018,Indisch,A corrupt police officer enjoys all the perks of being an immoral and unethical police officer until an event which transforms his life completely and forces him to choose the righteous path.,6.071,78,8.337
Pad Man,2018,Indisch,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India.",7.4,198,7.742
Thar,2022,Indisch,A mysterious stranger arrives in a village situated in the Thar desert and crosses paths with a veteran cop investigating a case of brutal killings.,5.906,32,5.928
Tanhaji: The Unsung Warrior,2020,Indisch,"When Aurangzeb recruits his trusted soldier Udaybhan to control the Kondhana fort, Shivaji's military leader Tanhaji Malusare and his army of Maratha warriors set out to recapture the fortress.",6.42,69,9.306
Rustom,2016,Indisch,"A naval officer is devastated to learn about his wife's extramarital affair with a rich businessman while he was away. He pays him a visit and shoots him to death, following which he surrenders himself but claims to be ""not guilty"" in the court, much to the surprise of the businessman's sister and the officers dealing with his case.",6.711,116,7.224
Axone,2019,Indisch,"This bittersweet comedy follows North-east Indians in Delhi who are attempting to organize a wedding party, but soon find everything going wrong.",5.962,13,11.367
Fan,2016,Indisch,"A man who bears a striking resemblance to a renowned movie star becomes an obsessive fan, but when his fierce love is spurned by the star, he decides to destroy the star's life and reputation.",6.296,247,12.718
Sonu Ke Titu Ki Sweety,2018,Indisch,Titu is going to marry a perfect woman named Sweety. Titu's best-friend Sonu doubts Sweety's character and tries to break the marriage while Sweety tries to do opposite and which leads to war between Bromance and Romace.,6.525,102,7.466
Dum Laga Ke Haisha,2015,Indisch,A slim uneducated guy is pressured into an arranged marriage with an overweight college girl. The mismatched couple is challenged to compete in the annual wife-carrying race.,7.168,122,11.442
Bala,2019,Indisch,A man suffering from alopecia copes with his lack of self-confidence and the societal pressure that comes with being bald.,6.638,69,7.259
Bhool Bhulaiyaa 2,2022,Indisch,"When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit who has been trapped for 18 years.",6.303,66,9.926
Thugs of Hindostan,2018,Indisch,"After the British company’s officer Clive takes over the kingdom of Mirza, Princess Zafira and Khudabaksh aka Azaad form a band of rebel pirates who swear to defeat the English officer and win their freedom back. The British Company in return, hire the wily thug Firangi track Azaad’s gang and thwart his plans.",5.505,102,8.917
Dhamaka,2021,Indisch,"When a cynical ex-TV news anchor gets an alarming call on his radio show, he sees a chance for a career comeback — but it may cost his conscience.",6.9,90,9.121
Dil Dhadakne Do,2015,Indisch,"On a cruise to celebrate their parents' 30th wedding anniversary, a brother and sister deal with the impact of family considerations on their romantic lives.",6.772,136,9.406
Kisi Ka Bhai... Kisi Ki Jaan,2023,Indisch,"Bhaijaan, a self-defense trainer lives happily as a bachelor with his three brothers Moh, Ishq and Luv and uses violence to settle disputes. When his brothers, who’ve already found partners, come together to fix a match for him, Bhagya Lakshmi, Bhaijaan decides to mend his ways for his lover's sake. All hell breaks loose when he learns about Bhagya's family facing threats from their haunting past.",5.365,26,9.716
Tamasha,2015,Indisch,"Meeting while on vacation, Ved and Tara sense a connection but vow to keep their real identities a secret. Years later, their paths cross again.",6.72,141,10.398
Mardaani 2,2019,Indisch,Officer Shivani Shivaji Roy is stationed at Kota where she goes against a ferocious serial killer who rapes and murders women.,7.121,66,9.622
Secret Superstar,2017,Indisch,A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.,7.294,163,7.138
Badrinath Ki Dulhania,2017,Indisch,Badrinath is looking for a typical bride; Vaidehi is looking for an independent life. Together they must break with tradition and redefine their role,6.386,127,9.38
Laal Singh Chaddha,2022,Indisch,"Events in India's history — from the Emergency and the famous Cricket World Cup win to the Punjab riots — unfold from the perspective of an innocent Sikh man Laal Singh Chaddha, a person with a low IQ but high optimism. Laal is able to achieve everything under the sun but his childhood love continues to elude him.",6.6,65,7.837
"Monica, O My Darling",2022,Indisch,"A slick robotics expert joins a murderous plot after a passionate affair takes a sudden turn, but nothing — not even death — is what it seems to be.",7.028,72,6.791
Baaghi 3,2020,Indisch,A man embarks on a bloody rampage to save his kidnapped brother.,6.608,111,10.86
Mrs. Chatterjee Vs Norway,2023,Indisch,An immigrant Indian mother fights the Norwegian foster care system and legal machinery to win back custody of her children.,5.3,54,10.988
Junglee,2019,Indisch,A vet returns home to his father's elephant reserve where he encounters and fights an international poacher's racket.,6.757,103,8.589
Jagga Jasoos,2017,Indisch,A gifted teenage detective searches for his missing father with his ladylove assistant.,6.148,91,7.062
Mom,2017,Indisch,"After her stepdaughter is sexually assaulted at a party, a furious mother sets out to destroy the lives of the four perpetrators who walked free.",7.569,195,10.829
Street Dancer 3D,2020,Indisch,"Two rival dance groups from India and Pakistan who are always competing against each other, join forces when it comes to competing at an international dance competition.",6.6,37,6.931
Tadap,2021,Indisch,"Passionate Ishana falls madly in love with Ramisa. As their love grows stronger by the day, fate plays the villain and throws one hurdle after another.",6.636,11,7.405
Period. End of Sentence.,2018,Indisch,"In an effort to improve feminine hygiene, a machine that creates low-cost biodegradable sanitary pads is installed in a rural village in Northern India. Using the machine, a group of local women is employed to produce and sell pads, offering them newfound independence and helping to destigmatize menstruation for all.",7.9,233,8.809
Dabangg 3,2019,Indisch,"Chulbul this time has to take on a criminal named Balli Singh, who has disrupted other people's lives with his annoying antics.",5.235,51,9.341
Love Hostel,2022,Indisch,"Set against the pulsating backdrop of rustic North India, Love Hostel traces the volatile journey of star-crossed lovers, being hunted by a ruthless mercenary on the orders of the area's MLA, who also happens to be the girl's grandmother.",4.958,12,8.679
Gadar 2,2023,Indisch,"When Tara Singh goes missing during a skirmish and is believed to be captured in Pakistan, his son Jeete sets out to rescue him and enters a labyrinth from which they both must escape at all costs.",6.447,38,7.736
Judwaa 2,2017,Indisch,"Separated at birth and peculiarly connected via their reflexes, twins Prem and Raja are reunited with each other as they set out to take down the underground smuggling world.",5.398,103,7.804
Roohi,2021,Indisch,Roohi is set in a fictional town of North India. The film revolves around two small-town boys Bhaura and Kattanni who are stuck in a forest with Roohi. But there’s an insidious spirit following them with feet turned backwards.,4.4,27,9.62
Shivaay,2016,Indisch,"Shivaay , a fearless Himalayan mountaineer covered in Lord Shiva tattoos, heads to Bulgaria to fulfill his nine-year-old daughter Gaura’s  wish of seeing her mother Olga, who abandoned them years ago. But their plan goes for a toss when the little girl gets kidnapped in the foreign land. Rescuing her from the masked child-traffickers becomes his only reason for survival.",5.803,61,6.616
Pippa,2023,Indisch,"The story of Captain Balram Singh Mehta of India’s 45 Cavalry regiment who, along with his siblings, fought on the eastern front during the Indo-Pakistani war of 1971. Named after the Russian amphibious war tank “PT-76”, which floats on water like an empty ‘pippa’ (tin) of ghee, the film traces Mehta's coming-of-age as he steps up to prove himself in a war to liberate Bangladesh.",4.5,5,6.99
Dhaakad,2022,Indisch,"Special Agent Agni is tasked to find information and eventually, eliminate Rudraveer, an international human trafficker and a coal mafioso. Things turn personal when Agni discovers a truth that connects her to Rudraveer.",4.417,11,6.13
Azhar,2016,Indisch,"The famous and idolized Indian cricketer Mohammad Azharuddin, known as Azhar, faces in court those who accuse him of match-fixing in exchange for large sums of money during the national team's tour of South Africa.",5.828,32,7.739
Joram,2023,Indisch,A father is on the run with his little baby girl to escape the ghosts of his past and the forces that want him dead.,7.8,4,6.698
Dishoom,2016,Indisch,"When India's top cricketer is kidnapped in the Middle East, a loose cannon and a rookie cop are tasked with finding him before the high-stakes match with Pakistan.",5.349,86,7.09
Silence... Can You Hear It?,2021,Indisch,"When Pooja, the daughter of retired Justice Chaudhary, is found murdered under mysterious circumstances, ACP Verma is roped in to investigate this high-profile case. When everyone is hiding the truth, justice will thrive despite the silence.",5.857,14,7.181
All Ladies Do It,2020,Indisch,A Handsome young man gets erotically involved with a Sultry seductive wife of an impotent man only to find himself tangles in a dangerous web of lies and cheat.,1.0,1,10.786
Dil Bechara,2020,Indisch,"Kizie and Manny, two ordinary people brought together by a tragic twist, embark on a bittersweet and extraordinary journey into the heart of that crazy little thing called 'life'.",6.667,96,6.879
Chhichhore,2019,Indisch,Following a group of friends from university as they progress into middle-age life and go their own separate ways.,7.7,129,7.74
Cobalt Blue,2022,Indisch,"When an aspiring author and his free-spirited sister both fall for the enigmatic paying guest at their home, ensuing events rock their traditional family.",6.1,25,4.908
Udta Punjab,2016,Indisch,"Drug abuse and the darker side of Punjab rear their heads in the intense, interwoven tales of a policeman, a doctor, a migrant worker, and a rockstar.",7.226,146,6.23
Sir,2018,Indisch,"A prosperous young Indian man falls in love with his servant, a widow with the dream of becoming a fashion designer.",7.124,101,8.477
Bholaa,2023,Indisch,"An ex-convict must undertake a perilous, violent journey in order to meet his daughter after ten years of imprisonment.",6.019,26,10.029
Tubelight,2017,Indisch,"Laxman Singh Bisht is nicknamed tube light by his neighbours because he is feeble-minded. Despite being special, Laxman lives by one life-lesson; keep your faith alive and you can do almost anything, even stop a war.",5.361,83,6.209
Parched,2015,Indisch,"In the arid landscape of Rajasthan, four women navigate their way through personal and cultural difficulties.",7.4,87,7.578
Pari,2018,Indisch,"Arnab tries to help Ruksahana, who is found under mysterious circumstances in a house. He lets her stay at his home until he discovers something strange about her.",6.5,43,5.259
Aankh Micholi,2023,Indisch,A family of misfits is trying to hide some secrets from the NRI suitor and his family as they want their daughter to get married to a well-to-do NRI guy resulting in a series of comical twists and turns.,3.0,1,7.302
ABCD 2,2015,Indisch,"Childhood friends Suresh and Vinnie want to become successful dancers. To fulfill their dreams, they form a dance group with their friends and compete in a hip-hop contest in Las Vegas.",5.549,81,8.894
Yellow Bus,2023,Indisch,"In the sweltering Arabian Gulf heat Ananda’s dreams of a better life than the one she left behind in India are shattered after her child is forgotten on a school bus. Armed with the dead child’s ashes, she stands up against society’s ‘invisible’ caste, demanding accountability and refusing the customary blood money.",0.0,0,4.796
Ram Setu,2022,Indisch,An atheist archaeologist turned believer must race against time to prove the true existence of the legendary Ram Setu before evil forces destroy the pillar of India’s heritage.,4.944,27,9.78
Masaan,2015,Indisch,"Four lives intersect along the Ganges: a low caste boy in hopeless love, a daughter ridden with guilt of a sexual encounter ending in a tragedy, a hapless father with fading morality, and a spirited child yearning for a family, long to escape the moral constructs of a small-town.",6.994,171,5.693
Darlings,2022,Indisch,"Badru hopes her volatile husband will reform if he stops drinking. But when his rage goes too far, she and her mom boldly, albeit clumsily, seek revenge.",7.0,54,8.832
Prem Ratan Dhan Payo,2015,Indisch,"While recovering from an assassination attempt four days before his coronation, a stern prince is replaced by a romantic lookalike.",5.425,107,7.692
